time,A,B
0.0,0.0,0.0
0.20202020202020204,0.20100477334831718,0.047474612466307464
0.4040404040404041,0.39080463097181956,0.15011824703461904
0.6060606060606061,0.5520705753038059,0.26861270565686496
0.8080808080808082,0.6726943310266346,0.37912667848096254
1.0101010101010102,0.7513916350362085,0.4685110493632824
1.2121212121212122,0.7957234461555966,0.5326176847142994
1.4141414141414144,0.816635952380851,0.5737280742629943
1.6161616161616164,0.824003590351877,0.597263835449175
1.8181818181818183,0.8247801990471294,0.6090803392063419
